COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
,,,,8,R Swarnalatha,304,F34,,
1091,CS F222,DISCR STRUC FOR COMP SCI,3 0 3,,A SOMASUNDARAM,,,06.11.2023 AN,10.01.2024 AN
,,,,1,S Baskaran,210,M9 T7 Th9 F1,,
,,,,2,A Somasundaram,257,M9 T7 Th3 F1,,
,,,,3,A Somasundaram,334,M4 W7 Th9 F5,,
1655,CS F266,STUDY PROJECT,3,1,B VIJAYAKUMAR,,,,
1316,CS F301,PRINCIPLES OF PROGG LANG,2 0 2,1,B VIJAYAKUMAR,269,W3 Th2,31.10.2023 AN,04.01.2024 AN
,,,,2,Pranav Mothabhau Pawar,268,W3 Th2,,
,,,,3,B Vijayakumar,267,Th6 F4,,
2266,CS F320,FOUNDATION OF DATA SCIENCE,3 0 3,1,SIDDHALING UROLAGIN,268,M6 T7 Th3,31.10.2023 FN,05.01.2024 FN
1317,CS F342,COMPUTER ARCHITECTURE,3 1 4,1,TAMIZHARASAN PERIYASAMY,269,M3 T4 Th1 F5,02.11.2023 AN,08.01.2024 AN
,,,,2,Raja M,268,M3 T4 Th1 F5,,
,,,,3,Raja M,267,T1 W3 Th5 F3,,
,,Practical,,1,Tamizharasan Periyasamy,332,W89,,
,,,,2,Raja M,335,W89,,
,,,,3,Angel A Jothi,336,W89,,
1314,CS F351,THEORY OF COMPUTATION,3 0 3,1,ELAKKIYA RAJASEKAR,269,T1 W4 Th5 F3,30.10.2023 AN,02.01.2024 AN
,,,,2,S Jeyalatha,268,T1 W4 Th5 F3,,
,,,,3,Elakkiya Rajasekar,267,M3 T4 Th2 F5,,
1670,CS F366,LABORATORY PROJECT,3,1,B VIJAYAKUMAR,,,,
1740,CS F367,LABORATORY PROJECT,3,1,B VIJAYAKUMAR,,,,
1315,CS F372,OPERATING SYSTEMS,3 0 3,1,ANGEL A JOTHI,269,T5 W2 Th6 F4,06.11.2023 AN,10.01.2024 AN
,,,,2,Pramod Gaur,268,T5 W2 Th6 F4,,
,,,,3,Angel A Jothi,267,M2 W4 Th1 F2,,
1689,CS F376,DESIGN PROJECT,3,1,B VIJAYAKUMAR,,,,
1756,CS F377,DESIGN PROJECT,3,1,B VIJAYAKUMAR,,,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3 0 3,1,SUJALA D SHETTY,269,M6 T7 Th3,31.10.2023 FN,05.01.2024 FN
1322,CS F415,DATA MINING,3 0 3,1,ANGEL A JOTHI,267,M6 T7 Th3,31.10.2023 FN,05.01.2024 FN
2440,CS F425,DEEP LEARNING,3 0 3,1,TAMIZHARASAN PERIYASAMY,267,T6 W1 Th7,03.11.2023 FN,09.01.2024 FN
2444,CS F429,NATURAL LANGUAGE PROCESSING,3 0 3,1,ELAKKIYA RAJASEKAR,269,T6 W1 Th7,03.11.2023 FN,09.01.2024 FN
1714,CS F491,SPECIAL PROJECT,3,1,B VIJAYAKUMAR,,,,
1380,ECE F211,ELECTRICAL MACHINES,3 1 4,1,R GOMATHI BHAVANI,228,M5 T1 Th9 F5,31.10.2023 AN,04.01.2024 AN
,,Practical,,1,R Gomathi Bhavani,313,W67,,
1381,ECE F212,ELECTROMAGNETIC THEO,3 0 3,1,G AMARANATH,228,M6 T7 Th8 F3,02.11.2023 AN,08.01.2024 AN
1383,ECE F214,ELECTRONIC DEVICES,3 0 3,1,M B SRINIVAS,228,M1 T8 W5 F2,06.11.2023 AN,10.01.2024 AN
1382,ECE F215,DIGITAL DESIGN,3 1 4,1,JAGADISH NAYAK,210,M2 T6 W1 Th2,30.10.2023 AN,02.01.2024 AN
,,,,2,R Swarnalatha,257,M2 T6 W1 Th2,,
,,,,3,Vilas H Gaidhane,229,M2 T6 W1 Th2,,
,,,,4,Shazia Hasan,205,M2 T6 W1 Th2,,
,,Practical,,1,M B Srinivas,304,M34,,
,,,,2,Nilesh Goel,304,M89,,
,,,,3,Abdul Razak,304,T89,,
,,,,4,R Swarnalatha,304,W34,,
,,,,5,Jagadish Nayak,304,W89,,
,,,,6,M B Srinivas,304,Th34,,
,,,,7,Abdul Razak,304,Th89,,
,,,,8,R Swarnalatha,304,F34,,
1701,ECE F266,STUDY PROJECT,3,1,V KALAICHELVI,,,,
1389,ECE F311,COMMUNICATION SYSTEMS,3 1 4,1,JAGADISH NAYAK,221,M6 T1 W3 F3,30.10.2023 AN,02.01.2024 AN
,,Practical,,1,T G Thomas,330,T567,,
1388,ECE F314,EM FIELDS & MICRO ENGG,3 0 3,1,ABDUL RAZAK,223,M9 W7 Th2 F4,31.10.2023 AN,04.01.2024 AN
1702,ECE F366,LABORATORY PROJECT,3,1,V KALAICHELVI,,,,
1705,ECE F367,LABORATORY PROJECT,3,1,V KALAICHELVI,,,,
1703,ECE F376,DESIGN PROJECT,3,1,V KALAICHELVI,,,,
1706,ECE F377,DESIGN PROJECT,3,1,V KALAICHELVI,,,,
1392,ECE F434,DIGITAL SIGNAL PROCESS,3 1 4,1,SHAZIA HASAN,223,M8 T4 W4 F5,02.11.2023 AN,08.01.2024 AN
,,Practical,,1,Shazia Hasan,303,Th567,,
1393,ECE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,221,M3 W1 F2,31.10.2023 FN,05.01.2024 FN
1704,ECE F491,SPECIAL PROJECT,3,1,V KALAICHELVI,,,,
1023,ECON F211,PRINCIPLES OF ECONOMICS,3 0 3,1,SARTAJ RASOOL,334,M5 T5 W5,06.11.2023 FN,04.01.2024 FN
1009,EEE F111,ELECTRICAL SCIENCES,3 0 3,1,T G THOMAS,165,M1 T9 W5 Th2,02.11.2023 FN,08.01.2024 FN
,,,,2,Sunil Thomas,185,M1 T6 W5 F2,,
,,,,3,T G Thomas,190,M8 T2 W3 F2,,
1077,EEE F211,ELECTRICAL MACHINES,3 1 4,1,R GOMATHI BHAVANI,228,M5 T1 Th9 F5,31.10.2023 AN,04.01.2024 AN
,,Practical,,1,R Gomathi Bhavani,313,W67,,
1078,EEE F212,ELECTROMAGNETIC THEO,3 0 3,1,G AMARANATH,228,M6 T7 Th8 F3,02.11.2023 AN,08.01.2024 AN
1080,EEE F214,ELECTRONIC DEVICES,3 0 3,1,M B SRINIVAS,228,M1 T8 W5 F2,06.11.2023 AN,10.01.2024 AN
1079,EEE F215,DIGITAL DESIGN,3 1 4,1,JAGADISH NAYAK,210,M2 T6 W1 Th2,30.10.2023 AN,02.01.2024 AN
,,,,2,R Swarnalatha,257,M2 T6 W1 Th2,,
,,,,3,Vilas H Gaidhane,229,M2 T6 W1 Th2,,
,,,,4,Shazia Hasan,205,M2 T6 W1 Th2,,
,,Practical,,1,M B Srinivas,304,M34,,
,,,,2,Nilesh Goel,304,M89,,
,,,,3,Abdul Razak,304,T89,,
,,,,4,R Swarnalatha,304,W34,,
,,,,5,Jagadish Nayak,304,W89,,
,,,,6,M B Srinivas,304,Th34,,
,,,,7,Abdul Razak,304,Th89,,
,,,,8,R Swarnalatha,304,F34,,
1657,EEE F266,STUDY PROJECT,3,1,V KALAICHELVI,,,,
1242,EEE F311,COMMUNICATION SYSTEMS,3 1 4,1,JAGADISH NAYAK,221,M6 T1 W3 F3,30.10.2023 AN,02.01.2024 AN
,,Practical,,1,T G Thomas,330,T567,,
1244,EEE F312,POWER SYSTEMS,3 0 3,1,SUNIL THOMAS,221,M8 W7 Th7 F5,31.10.2023 AN,04.01.2024 AN
1243,EEE F313,ANALOG & DIGIT VLSI DES,3 0 3,1,VILAS H GAIDHANE,229,M9 W4 Th5 F4,02.11.2023 AN,08.01.2024 AN
1731,EEE F366,LABORATORY PROJECT,3,1,V KALAICHELVI,,,,
1742,EEE F367,LABORATORY PROJECT,3,1,V KALAICHELVI,,,,
1691,EEE F376,DESIGN PROJECT,3,1,V KALAICHELVI,,,,
1758,EEE F377,DESIGN PROJECT,3,1,V KALAICHELVI,,,,
2288,EEE F411,INTERNET OF THINGS,3 1 4,1,NILESH GOEL,269,M4 W6 F1,02.11.2023 FN,10.01.2024 FN
,,Practical,,1,Nilesh Goel,330,T23,,
1886,EEE F417,COMP BASED CONTROL SYS,3 0 3,1,R GOMATHI BHAVANI,223,M3 W9 F2,31.10.2023 FN,05.01.2024 FN
1247,EEE F432,MEDICAL INSTRUMENTATION,3 0 3,1,R SWARNALATHA,221,M4 W8 F1,03.11.2023 FN,09.01.2024 FN
1249,EEE F472,SATELLITE COMMUNICATION,3 0 3,1,ABDUL RAZAK,221,M3 W1 F2,31.10.2023 FN,05.01.2024 FN
1143,FIN F212,FUNDA OF FIN AND ACCOUNT,3 0 3,1,ASGAR ALI,210,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1539,FIN F311,DERIVATIVES & RISK MGMT,3 0 3,1,FAISAL NAZIR ZARGAR,267,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
1542,FIN F315,FINANCIAL MANAGEMENT,3 0 3,1,FAISAL NAZIR ZARGAR,223,M1 T9 Th4,06.11.2023 FN,09.01.2024 AN
1130,GS F211,MOD POLITICAL CONCEPTS,3 0 3,1,SHAMSHAD KHAN,269,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
1131,GS F212,ENVIRON DEV & CLIMATE CH,3 0 3,1,GEETHA KANNAN,268,M1 T9 Th4,06.11.2023 FN,09.01.2024 AN
1176,GS F332,CONTEMPORARY INDIA,3 0 3,1,MRUTUYANJAYA SAHU,269,M1 T9 Th4,06.11.2023 FN,09.01.2024 AN
1693,GS F376,DESIGN PROJECT,3,1,SARTAJ RASOOL,,,,
1760,GS F377,DESIGN PROJECT,3,1,SARTAJ RASOOL,,,,
2537,HSS F211,INTRODUCTION TO ARABIC,3 0 3,1,SHAMSHAD KHAN,229,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1603,HSS F222,LINGUISTICS,3 0 3,1,SAYANTAN CHAKRABORTY,228,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1775,HSS F232,INTRO TO DEV STUDIES,3 0 3,1,MRUTUYANJAYA SAHU,257,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1776,HSS F266,STUDY PROJECT,3,1,SARTAJ RASOOL,,,,
1626,HSS F346,INTERNATIONAL RELATIONS,3 0 3,1,SHAMSHAD KHAN,267,M1 T9 Th4,06.11.2023 FN,09.01.2024 AN
1828,HSS F349,ECOCRITICISM,3 0 3,1,SAYANTAN CHAKRABORTY,221,M1 T9 Th4,06.11.2023 FN,09.01.2024 AN
1835,HSS F350,"HUMAN RIGHTS: HISTORY, THEORY AND PRACTICE",3 0 3,1,MRUTUYANJAYA SAHU,268,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
2272,HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,3 0 3,1,SHAZI S J,205,M7 T2 Th6,01.11.2023 FN,11.01.2024 AN
1529,IS F341,SOFTWARE ENGINEERING,3 1 4,1,PRAMOD GAUR,223,M6 T7 Th3,31.10.2023 FN,05.01.2024 FN
,,Practical,,1,Pramod Gaur,335,M89,,
905,MATH D021,REMEDIAL MATHEMATICS,5 0 5,1,K KUMAR,221,M7 T6 W2 Th5,30.10.2023 FN,02.01.2024 FN
1010,MATH F111,MATHEMATICS I,3 0 3,1,SUHEL AHMAD KHAN,101,T2 W5 Th1 F3,30.10.2023 FN,02.01.2024 FN
,,,,2,K Kumar,105,T2 W5 Th1 F5,,
